ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-09-25,"Sheep Drive - IDNCF","Wildfire","Idaho","140 Acres","4 hours 39 minutes ago","Thu, 09/25/2025 - 12:58","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
2025-09-26,"Sheep Drive - IDNCF","Wildfire","Idaho","140 Acres","17 hours 20 minutes ago","Thu, 09/25/2025 - 18:02","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
2025-09-27,"Sheep Drive - IDNCF","Wildfire","Idaho","140 Acres","1 day 16 hours ago","Thu, 09/25/2025 - 18:02","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
2025-09-28,"Sheep Drive - IDNCF","Wildfire","Idaho","140 Acres","2 days 17 hours ago","Thu, 09/25/2025 - 18:02","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
2025-09-29,"Sheep Drive - IDNCF","Wildfire","Idaho","140 Acres","3 days 17 hours ago","Thu, 09/25/2025 - 18:02","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
2025-09-30,"Sheep Drive - IDNCF","Wildfire","Idaho","140 Acres","4 days 17 hours ago","Thu, 09/25/2025 - 18:02","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
2025-10-01,"Sheep Drive - IDNCF","Wildfire","Idaho","163 Acres","21 hours 26 minutes ago","Tue, 09/30/2025 - 13:50","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
2025-10-02,"Sheep Drive - IDNCF","Wildfire","Idaho","163 Acres","1 day 21 hours ago","Tue, 09/30/2025 - 13:50","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
2025-10-03,"Sheep Drive - IDNCF","Wildfire","Idaho","163 Acres","2 days 21 hours ago","Tue, 09/30/2025 - 13:50","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
2025-10-04,"Sheep Drive - IDNCF","Wildfire","Idaho","163 Acres","3 days 21 hours ago","Tue, 09/30/2025 - 13:50","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
2025-10-05,"Sheep Drive - IDNCF","Wildfire","Idaho","163 Acres","4 days 21 hours ago","Tue, 09/30/2025 - 13:50","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
2025-10-06,"Sheep Drive - IDNCF","Wildfire","Idaho","163 Acres","5 days 21 hours ago","Tue, 09/30/2025 - 13:50","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
2025-10-07,"Sheep Drive - IDNCF","Wildfire","Idaho","163 Acres","6 days 21 hours ago","Tue, 09/30/2025 - 13:50","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
2025-10-08,"Sheep Drive - IDNCF","Wildfire","Idaho","163 Acres","1 week ago","Tue, 09/30/2025 - 13:50","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
2025-10-09,"Sheep Drive - IDNCF","Wildfire","Idaho","163 Acres","1 week 1 day ago","Tue, 09/30/2025 - 13:50","","Wildfire","lightning","","10 miles east/northeast of Elk City Idaho","","45° 52' 0.0012'', -115° 14' 12.3612 ''","45° 52' 0.0012''","-115° 14' 12.3612 ''","",""
